day_label,date,activity,type,time_1,timezone_1_label,time_2,timezone_2_label
"Day 1","September 13, 2025","Welcome","other","10:00","MOUNTAIN","12:00","EASTERN"
"Day 1","September 13, 2025","Module 1: Introduction to ChIP sequencing and analysis","Lecture","10:15","MOUNTAIN","12:15","EASTERN"
"Day 1","September 13, 2025","Break","Break","12:15","MOUNTAIN","14:15","EASTERN"
"Day 1","September 13, 2025","Module 1: ChIP-seq Alignment (Lab)","Lab","12:45","MOUNTAIN","14:45","EASTERN"
"Day 1","September 13, 2025","Break","Break","13:45","MOUNTAIN","15:45","EASTERN"
"Day 1","September 13, 2025","Module 2: Peak Calling and Visulization","Lecture","14:45","MOUNTAIN","16:45","EASTERN"
"Day 1","September 13, 2025","Break","Break","16:45","MOUNTAIN","18:45","EASTERN"
"Day 1","September 13, 2025","Module 2: Peak Calling and Visulization (Lab)","Lab","17:15","MOUNTAIN","19:15","EASTERN"

"Day 2","September 14, 2025","Module 3: ChIP-seq Differential Analysis","Lecture","10:00","MOUNTAIN","12:00","EASTERN"
"Day 2","September 14, 2025","Break","Break","12:00","MOUNTAIN","14:00","EASTERN"
"Day 2","September 14, 2025","Module 3: ChIP-seq Differential Analysis (Lab)","Lab","12:30","MOUNTAIN","14:30","EASTERN"
"Day 2","September 14, 2025","Break","Break","13:30","MOUNTAIN","15:30","EASTERN"
"Day 2","September 14, 2025","Module 4: WGBS and analysis","Lecture","14:30","MOUNTAIN","16:30","EASTERN"
"Day 2","September 14, 2025","Break","Break","16:00","MOUNTAIN","18:00","EASTERN"
"Day 2","September 14, 2025","Module 4: WGBS and analysis (Lab part 1)","Lab","16:30","MOUNTAIN","18:30","EASTERN"

"Day 3","September 15, 2025","Module 4: WGBS and analysis (Lab part 2)","Lab","10:00","MOUNTAIN","12:00","EASTERN"
"Day 3","September 15, 2025","Break","Break","12:00","MOUNTAIN","14:00","EASTERN"
"Day 3","September 15, 2025","Module 5 - Integrative Analysis","Lecture","12:30","MOUNTAIN","14:30","EASTERN"
"Day 3","September 15, 2025","Break","Break","13:30","MOUNTAIN","15:30","EASTERN"
"Day 3","September 15, 2025","Module 5 - Integrative Analysis (part 2)","Lecture","14:30","MOUNTAIN","16:30","EASTERN"
"Day 3","September 15, 2025","Module 5 - Integrative Analysis (Lab part 1)","Lab","15:00","MOUNTAIN","17:00","EASTERN"
"Day 3","September 15, 2025","Break","Break","16:30","MOUNTAIN","18:30","EASTERN"
"Day 3","September 15, 2025","Module 5 - Integrative Analysis (Lab part 2)","Lab","17:00","MOUNTAIN","19:00","EASTERN"
"Day 3","September 15, 2025","Survey & Closing Remarks","other","18:00","MOUNTAIN","20:00","EASTERN"



